driver_key,person_id,full_name,gender,date_of_birth,age,effective_date,end_date,is_current
1,1,Agrita Abele,FEMALE,1957-12-19,68,2026-05-22,,True
2,2,Kayla Woodcock,FEMALE,1989-01-25,37,2026-05-22,,True
3,3,Hudson Onslow,MALE,1995-11-09,30,2026-05-22,,True
4,4,Isabella Rupp,FEMALE,1983-06-09,42,2026-05-22,,True
5,5,Eva Muirden,FEMALE,1991-05-23,34,2026-05-22,,True
6,6,Sophia Hinton,FEMALE,1993-02-03,33,2026-05-22,,True
7,7,Amy Trefl,FEMALE,1990-05-20,36,2026-05-22,,True
8,8,Anthony Grosse,FEMALE,1961-02-14,65,2026-05-22,,True
9,9,Alica Fatnowna,FEMALE,1993-06-14,32,2026-05-22,,True
10,10,Stella Rosenhain,FEMALE,1988-09-29,37,2026-05-22,,True
11,11,Ethan Onslow,MALE,1997-03-18,29,2026-05-22,,True
12,12,Henry Forlonge,MALE,1950-03-11,76,2026-05-22,,True
13,13,Hudson Hollinworth,MALE,1972-06-15,53,2026-05-22,,True
14,14,Lily Code,FEMALE,1957-05-17,69,2026-05-22,,True
15,15,Taj Shand,MALE,1978-10-24,47,2026-05-22,,True
16,16,Archer Lamble,MALE,1969-12-12,56,2026-05-22,,True
17,17,Piper Koch,MALE,1954-11-08,71,2026-05-22,,True
18,18,Katie Darwin,FEMALE,1960-06-16,65,2026-05-22,,True
19,19,Jai Shand,FEMALE,1981-05-02,45,2026-05-22,,True
20,20,Jack Potter,MALE,1955-12-27,70,2026-05-22,,True
21,21,Reio Kabin,MALE,1958-08-15,67,2026-05-22,,True
22,22,Oliver Kivi,MALE,1987-01-10,39,2026-05-22,,True
23,23,Hanna Mihhailov,FEMALE,1967-03-08,59,2026-05-22,,True
24,24,Paulus Lippmaa,FEMALE,1993-07-29,32,2026-05-22,,True
25,25,Kerstin Parn,FEMALE,1981-03-29,45,2026-05-22,,True
26,26,Helen Ahven,FEMALE,1980-02-28,46,2026-05-22,,True
27,27,Bill Lawson,FEMALE,1980-04-27,46,2026-05-22,,True
28,28,Helen Moore,FEMALE,1991-12-05,34,2026-05-22,,True
29,29,Penny Buck,FEMALE,1961-10-09,64,2026-05-22,,True
30,30,Donna Smith,FEMALE,1979-01-18,47,2026-05-22,,True
31,32,Annette Talon,FEMALE,1973-09-03,52,2026-05-22,,True
32,33,Elias Myllari,FEMALE,1992-09-24,33,2026-05-22,,True
33,34,Vilma Niva,FEMALE,1963-03-31,63,2026-05-22,,True
34,35,Prem Prabhu,FEMALE,1965-05-19,61,2026-05-22,,True
35,36,Sunita Jadhav,FEMALE,1990-01-19,36,2026-05-22,,True
36,37,Marcos Costa,FEMALE,1960-12-13,65,2026-05-22,,True
37,38,Matheus Oliveira,FEMALE,1951-06-22,74,2026-05-22,,True
38,39,Eliza Soderberg,FEMALE,1973-04-11,53,2026-05-22,,True
39,40,Sara Karlsson,FEMALE,1961-04-07,65,2026-05-22,,True
40,41,Donald Jones,FEMALE,1990-03-05,36,2026-05-22,,True
41,42,Sharon Graham,FEMALE,1978-08-18,47,2026-05-22,,True
42,43,Hai Dam,FEMALE,1964-08-10,61,2026-05-22,,True
43,44,Thanh Dinh,FEMALE,1959-06-11,66,2026-05-22,,True
44,45,Hubert Helms,FEMALE,1964-08-19,61,2026-05-22,,True
45,46,Donald Small,FEMALE,1998-02-08,28,2026-05-22,,True
46,47,Waldemar Fisar,FEMALE,1952-01-23,74,2026-05-22,,True
47,48,Laimonis Berzins,FEMALE,1964-03-26,62,2026-05-22,,True
48,49,Lorena Cindric,FEMALE,1960-12-10,65,2026-05-22,,True
49,50,Hung Van Groesen,FEMALE,1976-05-16,50,2026-05-22,,True
50,51,Bhaargav Rambhatla,FEMALE,1983-03-18,43,2026-05-22,,True
51,52,Mudar Jevtic,FEMALE,1997-10-27,28,2026-05-22,,True
52,53,Daniel Roman,FEMALE,1989-03-17,37,2026-05-22,,True
53,54,Leyla Radnia,FEMALE,1974-05-12,52,2026-05-22,,True
54,55,Johanna Huiting,FEMALE,1995-06-27,30,2026-05-22,,True
55,56,Robert Ruutli,FEMALE,1972-08-22,53,2026-05-22,,True
56,57,Biswajeet Thakur,FEMALE,1982-04-29,44,2026-05-22,,True
57,58,Radha Shah,FEMALE,1980-07-31,45,2026-05-22,,True
58,59,Kalidas Nadar,FEMALE,1978-12-13,47,2026-05-22,,True
59,60,Filip Nedvidek,FEMALE,1979-10-30,46,2026-05-22,,True
60,61,Kanti Kotadia,FEMALE,1967-05-23,58,2026-05-22,,True
61,62,Hoa Cu,FEMALE,1976-04-29,50,2026-05-22,,True
62,63,Sointu Aalto,FEMALE,1991-03-26,35,2026-05-22,,True
63,64,Jae-Gon Min,FEMALE,1977-07-21,48,2026-05-22,,True
64,66,Paula Matos,FEMALE,1977-01-23,49,2026-05-22,,True
65,67,Elnaz Javan,FEMALE,1974-06-06,51,2026-05-22,,True
66,68,Jayashish Ghatak,FEMALE,1972-11-09,53,2026-05-22,,True
67,69,Heloisa Fernandes,FEMALE,1956-01-02,70,2026-05-22,,True
68,70,Amornrat Rattanaporn,FEMALE,1988-07-17,37,2026-05-22,,True
69,71,Razeena Hosseini,FEMALE,1955-12-02,70,2026-05-22,,True
70,72,Leticia Ribeiro,FEMALE,1997-09-20,28,2026-05-22,,True
71,73,Tereza Valentova,FEMALE,1984-03-14,42,2026-05-22,,True
72,74,Brijesh Ganguly,FEMALE,1986-08-02,39,2026-05-22,,True
73,75,Filips Jaunzems,FEMALE,1959-09-06,66,2026-05-22,,True
74,76,Bharati Bhowmick,FEMALE,1956-11-10,69,2026-05-22,,True
75,77,Nitin Matondkar,FEMALE,1953-08-14,72,2026-05-22,,True
76,78,Joy Dutta,FEMALE,1976-05-04,50,2026-05-22,,True
77,79,Adam Kubat,FEMALE,1986-09-18,39,2026-05-22,,True
78,80,Gulzar Naidu,FEMALE,1976-03-04,50,2026-05-22,,True
79,81,Rohan Kumar,FEMALE,1979-03-03,47,2026-05-22,,True
80,82,Prakash Sarma,FEMALE,1975-11-30,50,2026-05-22,,True
81,83,Mithun Bhattacharya,FEMALE,1976-05-01,50,2026-05-22,,True
82,84,Sandhya Raju,FEMALE,1969-01-17,57,2026-05-22,,True
83,85,Shreya Verma,FEMALE,1983-02-14,43,2026-05-22,,True
