gender,full_name,person_id,FaxNumber,date_of_birth,PhoneNumber,EmailAddress,PreferredName,age,created_at,updated_at
FEMALE,Agrita Abele,1,(415) 555-0103,1957-12-19,(415) 555-0102,agrita@example.com,Agrita,68,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Kayla Woodcock,2,(415) 555-0103,1989-01-25,(415) 555-0102,kaylaw@wideworldimporters.com,Kayla,37,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Hudson Onslow,3,(415) 555-0103,1995-11-09,(415) 555-0102,hudsono@wideworldimporters.com,Hudson,30,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Isabella Rupp,4,(415) 555-0103,1983-06-09,(415) 555-0102,isabellar@wideworldimporters.com,Isabella,42,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Eva Muirden,5,(415) 555-0103,1991-05-23,(415) 555-0102,evam@wideworldimporters.com,Eva,34,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Sophia Hinton,6,(415) 555-0103,1993-02-03,(415) 555-0102,sophiah@wideworldimporters.com,Sophia,33,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Amy Trefl,7,(415) 555-0103,1990-05-20,(415) 555-0102,amyt@wideworldimporters.com,Amy,36,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Anthony Grosse,8,(415) 555-0103,1961-02-14,(415) 555-0102,anthonyg@wideworldimporters.com,Anthony,65,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Alica Fatnowna,9,(415) 555-0103,1993-06-14,(415) 555-0102,alicaf@wideworldimporters.com,Alica,32,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Stella Rosenhain,10,(415) 555-0103,1988-09-29,(415) 555-0102,stellar@wideworldimporters.com,Stella,37,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Ethan Onslow,11,(415) 555-0103,1997-03-18,(415) 555-0102,ethano@wideworldimporters.com,Ethan,29,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Henry Forlonge,12,(415) 555-0103,1950-03-11,(415) 555-0102,henryf@wideworldimporters.com,Henry,76,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Hudson Hollinworth,13,(415) 555-0103,1972-06-15,(415) 555-0102,hudsonh@wideworldimporters.com,Hudson,53,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Lily Code,14,(415) 555-0103,1957-05-17,(415) 555-0102,lilyc@wideworldimporters.com,Lily,69,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Taj Shand,15,(415) 555-0103,1978-10-24,(415) 555-0102,tajs@wideworldimporters.com,Taj,47,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Archer Lamble,16,(415) 555-0103,1969-12-12,(415) 555-0102,archerl@wideworldimporters.com,Archer,56,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Piper Koch,17,(415) 555-0103,1954-11-08,(415) 555-0102,piperk@wideworldimporters.com,Piper,71,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Katie Darwin,18,(415) 555-0103,1960-06-16,(415) 555-0102,katied@wideworldimporters.com,Katie,65,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Jai Shand,19,(415) 555-0103,1981-05-02,(415) 555-0102,jais@wideworldimporters.com,Jai,45,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Jack Potter,20,(415) 555-0103,1955-12-27,(415) 555-0102,jackp@wideworldimporters.com,Jack,70,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Reio Kabin,21,(847) 555-0101,1958-08-15,(847) 555-0100,reio@adatum.com,Reio,67,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
MALE,Oliver Kivi,22,(847) 555-0101,1987-01-10,(847) 555-0100,olly@adatum.com,Olly,39,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Hanna Mihhailov,23,(360) 555-0101,1967-03-08,(360) 555-0100,hannam@Contoso Motors.com,Hanna,59,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Paulus Lippmaa,24,(360) 555-0101,1993-07-29,(360) 555-0100,paulusl@Contoso Motors.com,Paulus,32,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Kerstin Parn,25,(415) 555-0101,1981-03-29,(415) 555-0100,kerstin@consolidatedmessenger.com,Kerstin,45,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
FEMALE,Helen Ahven,26,(415) 555-0101,1980-02-28,(415) 555-0100,helen@consolidatedmessenger.com,Helen,46,2026-05-22 14:06:35.927865,2026-05-22 14:06:35.928547
